"","SpeciesCatName","Stocks","MedianB","MedianF","TotalMSY","TotalCatch"
"7","Herrings, sardines, anchovies",221,0.693,0.927383852749051,18563699.7938375,16936219
"16","Miscellaneous pelagic fishes",239,0.823367791753169,1.03461502392284,16962131.7368518,8279551
"4","Cods, hakes, haddocks",137,0.62530879449697,1.11654145206952,12584739.5043161,6578112
"12","Miscellaneous coastal fishes",1313,0.78238948949093,1.03617418851466,10256046.868773,6150183
"27","Tunas, bonitos, billfishes",182,0.914779066621731,0.77,9402238.88719547,7478406
"25","Squids, cuttlefishes, octopuses",189,1.54552730771658,0.401742800583861,4778555.53960193,2968480
"13","Miscellaneous demersal fishes",473,1.14507032892526,0.454723115529512,4134388.33436667,2530622.6
"24","Shrimps, prawns",243,0.436996526130423,1.6763545318604,3594672.5890898,3238579
"6","Flounders, halibuts, soles",278,0.548026808210288,1.24971102165968,1872466.59913486,993587.46
"5","Crabs, sea-spiders",174,0.462292628100687,1.8993204950927,1379384.62792031,1402049.1
"3","Clams, cockles, arkshells",104,1.50811697916277,0.351573466622763,1029543.1527331,491458
"19","Salmons, trouts, smelts",50,0.547602962078406,1.47389483628883,556147.098967538,662117
"22","Shads",42,0.561596313553443,1.25484545499091,501850.95713813,413483
"23","Sharks, rays, chimaeras",310,1.04185602983968,0.820468493179447,443826.532530223,328235
"15","Miscellaneous marine crustaceans",10,0.489924691645773,1.46673749096167,415516.560786713,300486
"20","Scallops, pectens",35,0.311316219868141,2.92463167631449,378146.316067228,509885
"10","Lobsters, spiny-rock lobsters",161,0.503168812716888,1.70551657054625,265098.380599156,259629
"18","Oysters",23,0.800807325073487,0.762328409366568,174794.753228691,148267
"17","Mussels",23,0.263896758377039,3.19988282008151,128217.421029877,85481
"1","Abalones, winkles, conchs",45,0.766372908175635,0.730109713137179,123353.872874658,69857.3
"21","Sea-urchins and other echinoderms",29,1.55198470541946,0.370084030665077,114052.876534809,63630
"9","King crabs, squat-lobsters",19,1.06407587586303,0.765771371056144,105314.520447284,52341
"14","Miscellaneous diadromous fishes",21,0.49572150584575,1.48910784731223,91584.0459722859,119568
"2","Carps, barbels and other cyprinids",26,0.476990891576648,1.94521977456663,8713.89707266379,7537
"8","Horseshoe crabs and other arachnoids",2,1.60608384469953,0.225121080254949,1744.45898895713,1016
"11","Miscellaneous aquatic invertebrates",2,1.69421180299932,0.218058327725911,737.720653500113,324
"26","Sturgeons, paddlefishes",1,0.462847065699338,1.84066290429825,89.2075922254257,76
