"","RegionFAO","catch_weighted_arth_mean_f","catch_weighted_geom_mean_f","catch_weighted_arth_mean_b","catch_weighted_geom_mean_b","fao_region_name","fao_region_long"
"1",21,1.69561637234627,1.13644867404646,0.950884112243136,0.785674267561106,"Atlantic, Northwest","21-Atlantic, Northwest"
"2",27,1.16814131351299,0.844268701263558,1.22179998775807,1.03419313901373,"Atlantic, Northeast","27-Atlantic, Northeast"
"3",31,1.4163669763447,1.1190131987161,1.02831103115259,0.971829599616965,"Atlantic, Western Central","31-Atlantic, Western Central"
"4",34,2.22234646012462,1.42000686659677,1.00584513414136,0.742625441195958,"Atlantic, Eastern Central","34-Atlantic, Eastern Central"
"5",37,1.59432857946862,0.959137055248138,1.24255549409786,0.984737113329996,"Mediterranean and Black Sea","37-Mediterranean and Black Sea"
"6",41,1.79291792615077,1.23700615012712,0.952964399342838,0.675042856119705,"Atlantic, Southwest","41-Atlantic, Southwest"
"7",47,1.84800690330699,1.64895351674538,0.721416160768903,0.674401109600627,"Atlantic, Southeast","47-Atlantic, Southeast"
"8",48,2.2500593687535,1.33470945818924,1.12285220249452,0.966002692338335,"Atlantic, Antarctic","48-Atlantic, Antarctic"
"9",51,2.02617186036598,1.31410377440054,1.09285030926239,0.916744019100727,"Indian Ocean, Western","51-Indian Ocean, Western"
"10",57,1.82356181825845,1.21265132427956,1.10998736720088,0.958730433602004,"Indian Ocean, Eastern","57-Indian Ocean, Eastern"
"11",58,1.14788349331377,0.83954512549988,0.270586497612984,0.249007573486023,"Indian Ocean, Antarctic and Southern","58-Indian Ocean, Antarctic and Southern"
"12",61,1.65482745274842,1.06093255173324,1.06563554428744,0.880106532210256,"Pacific, Northwest","61-Pacific, Northwest"
"13",67,0.734550836273507,0.651757324800329,1.25580333191459,1.20222161216282,"Pacific, Northeast","67-Pacific, Northeast"
"14",71,1.37757515433876,0.976127287192177,1.31962137219863,1.12928841648258,"Pacific, Western Central","71-Pacific, Western Central"
"15",77,1.29674953685641,0.939979603798616,1.33473607559775,1.21162091503325,"Pacific, Eastern Central","77-Pacific, Eastern Central"
"16",81,1.10818542353994,0.692133862727262,1.32875797576496,1.08580018235776,"Pacific, Southwest","81-Pacific, Southwest"
"17",87,1.2944197599869,0.941114114376013,1.34779937919413,0.954147570918809,"Pacific, Southeast","87-Pacific, Southeast"
"18",88,0.469870643252904,0.342850013756302,2.45994078596352,2.42404488423513,"Pacific, Antarctic","88-Pacific, Antarctic"
"19",NA,1.73212410850638,1.34402410401969,1.11044629616246,0.822371708813982,NA,NA
